subject,condition,category,target,choice1,choice2,response1,response2
0,none,animals,a finch,a robin,a chicken,robin,robin
0,none,animals,a finch,a robin,an eagle,robin,robin
0,none,animals,a finch,a robin,an ostrich,robin,robin
0,none,animals,a finch,a robin,a penguin,a robin,robin
0,none,animals,a finch,a robin,a salmon,robin,robin
0,none,animals,a finch,a robin,a seal,robin,robin
0,none,animals,a finch,a robin,a dolphin,robin,robin
0,none,animals,a finch,a robin,a whale,robin,robin
0,none,animals,a finch,a chicken,a robin,robin,robin
0,none,animals,a finch,a chicken,an eagle,chicken,chicken
0,none,animals,a finch,a chicken,an ostrich,chicken,chicken
0,none,animals,a finch,a chicken,a penguin,chicken,penguin
0,none,animals,a finch,a chicken,a salmon,chicken,chicken
0,none,animals,a finch,a chicken,a seal,a chicken,chicken
0,none,animals,a finch,a chicken,a dolphin,chicken,chicken
0,none,animals,a finch,a chicken,a whale,chicken,chicken
0,none,animals,a finch,an eagle,a robin,robin,robin
0,none,animals,a finch,an eagle,a chicken,chicken,chicken
0,none,animals,a finch,an eagle,an ostrich,eagle,an ostrich
0,none,animals,a finch,an eagle,a penguin,eagle,penguin
0,none,animals,a finch,an eagle,a salmon,eagle,salmon
0,none,animals,a finch,an eagle,a seal,eagle,eagle
0,none,animals,a finch,an eagle,a dolphin,eagle,dolphin
0,none,animals,a finch,an eagle,a whale,eagle,eagle
0,none,animals,a finch,an ostrich,a robin,robin,robin
0,none,animals,a finch,an ostrich,a chicken,chicken,a chicken
0,none,animals,a finch,an ostrich,an eagle,eagle,eagle
0,none,animals,a finch,an ostrich,a penguin,penguin,penguin
0,none,animals,a finch,an ostrich,a salmon,salmon,salmon
0,none,animals,a finch,an ostrich,a seal,an ostrich,ostrich
0,none,animals,a finch,an ostrich,a dolphin,an ostrich,dolphin
0,none,animals,a finch,an ostrich,a whale,ostrich,whale
0,none,animals,a finch,a penguin,a robin,robin,robin
0,none,animals,a finch,a penguin,a chicken,penguin,chicken
0,none,animals,a finch,a penguin,an eagle,penguin,eagle
0,none,animals,a finch,a penguin,an ostrich,penguin,penguin
0,none,animals,a finch,a penguin,a salmon,penguin,salmon
0,none,animals,a finch,a penguin,a seal,penguin,penguin
0,none,animals,a finch,a penguin,a dolphin,penguin,penguin
0,none,animals,a finch,a penguin,a whale,penguin,penguin
0,none,animals,a finch,a salmon,a robin,robin,robin
0,none,animals,a finch,a salmon,a chicken,chicken,chicken
0,none,animals,a finch,a salmon,an eagle,salmon,eagle
0,none,animals,a finch,a salmon,an ostrich,salmon,salmon
0,none,animals,a finch,a salmon,a penguin,salmon,penguin
0,none,animals,a finch,a salmon,a seal,salmon,salmon
0,none,animals,a finch,a salmon,a dolphin,salmon,dolphin
0,none,animals,a finch,a salmon,a whale,salmon,salmon
0,none,animals,a finch,a seal,a robin,robin,robin
0,none,animals,a finch,a seal,a chicken,chicken,chicken
0,none,animals,a finch,a seal,an eagle,seal,eagle
0,none,animals,a finch,a seal,an ostrich,seal,an ostrich
0,none,animals,a finch,a seal,a penguin,penguin,penguin
0,none,animals,a finch,a seal,a salmon,salmon,salmon
0,none,animals,a finch,a seal,a dolphin,seal,dolphin
0,none,animals,a finch,a seal,a whale,seal,whale
0,none,animals,a finch,a dolphin,a robin,robin,robin
0,none,animals,a finch,a dolphin,a chicken,chicken,chicken
0,none,animals,a finch,a dolphin,an eagle,dolphin,an eagle
0,none,animals,a finch,a dolphin,an ostrich,dolphin,ostrich
0,none,animals,a finch,a dolphin,a penguin,penguin,penguin
0,none,animals,a finch,a dolphin,a salmon,a dolphin,salmon
0,none,animals,a finch,a dolphin,a seal,dolphin,seal
0,none,animals,a finch,a dolphin,a whale,dolphin,dolphin
0,none,animals,a finch,a whale,a robin,robin,robin
0,none,animals,a finch,a whale,a chicken,chicken,chicken
0,none,animals,a finch,a whale,an eagle,eagle,eagle
0,none,animals,a finch,a whale,an ostrich,a whale,an ostrich
0,none,animals,a finch,a whale,a penguin,penguin,penguin
0,none,animals,a finch,a whale,a salmon,salmon,salmon
0,none,animals,a finch,a whale,a seal,whale,seal
0,none,animals,a finch,a whale,a dolphin,dolphin,dolphin
0,none,animals,a robin,a finch,a chicken,finch,finch
0,none,animals,a robin,a finch,an eagle,finch,finch
0,none,animals,a robin,a finch,an ostrich,finch,finch
0,none,animals,a robin,a finch,a penguin,finch,finch
0,none,animals,a robin,a finch,a salmon,finch,finch
0,none,animals,a robin,a finch,a seal,finch,finch
0,none,animals,a robin,a finch,a dolphin,finch,finch
0,none,animals,a robin,a finch,a whale,finch,finch
0,none,animals,a robin,a chicken,a finch,finch,finch
0,none,animals,a robin,a chicken,an eagle,a chicken,eagle
0,none,animals,a robin,a chicken,an ostrich,chicken,chicken
0,none,animals,a robin,a chicken,a penguin,a chicken,penguin
0,none,animals,a robin,a chicken,a salmon,chicken,salmon
0,none,animals,a robin,a chicken,a seal,a chicken,chicken
0,none,animals,a robin,a chicken,a dolphin,chicken,dolphin
0,none,animals,a robin,a chicken,a whale,chicken,chicken
0,none,animals,a robin,an eagle,a finch,finch,a finch
0,none,animals,a robin,an eagle,a chicken,eagle,a chicken
0,none,animals,a robin,an eagle,an ostrich,eagle,eagle
0,none,animals,a robin,an eagle,a penguin,eagle,penguin
0,none,animals,a robin,an eagle,a salmon,eagle,salmon
0,none,animals,a robin,an eagle,a seal,eagle,eagle
0,none,animals,a robin,an eagle,a dolphin,eagle,dolphin
0,none,animals,a robin,an eagle,a whale,eagle,eagle
0,none,animals,a robin,an ostrich,a finch,finch,finch
0,none,animals,a robin,an ostrich,a chicken,chicken,chicken
0,none,animals,a robin,an ostrich,an eagle,eagle,eagle
0,none,animals,a robin,an ostrich,a penguin,penguin,penguin
0,none,animals,a robin,an ostrich,a salmon,salmon,salmon
0,none,animals,a robin,an ostrich,a seal,ostrich,seal
0,none,animals,a robin,an ostrich,a dolphin,an ostrich,dolphin
0,none,animals,a robin,an ostrich,a whale,ostrich,whale
0,none,animals,a robin,a penguin,a finch,finch,finch
0,none,animals,a robin,a penguin,a chicken,penguin,chicken
0,none,animals,a robin,a penguin,an eagle,penguin,eagle
0,none,animals,a robin,a penguin,an ostrich,penguin,penguin
0,none,animals,a robin,a penguin,a salmon,penguin,salmon
0,none,animals,a robin,a penguin,a seal,penguin,penguin
0,none,animals,a robin,a penguin,a dolphin,penguin,dolphin
0,none,animals,a robin,a penguin,a whale,penguin,penguin
0,none,animals,a robin,a salmon,a finch,finch,finch
0,none,animals,a robin,a salmon,a chicken,chicken,chicken
0,none,animals,a robin,a salmon,an eagle,salmon,eagle
0,none,animals,a robin,a salmon,an ostrich,salmon,salmon
0,none,animals,a robin,a salmon,a penguin,salmon,penguin
0,none,animals,a robin,a salmon,a seal,salmon,salmon
0,none,animals,a robin,a salmon,a dolphin,dolphin,dolphin
0,none,animals,a robin,a salmon,a whale,salmon,salmon
0,none,animals,a robin,a seal,a finch,finch,finch
0,none,animals,a robin,a seal,a chicken,chicken,chicken
0,none,animals,a robin,a seal,an eagle,eagle,eagle
0,none,animals,a robin,a seal,an ostrich,seal,an ostrich
0,none,animals,a robin,a seal,a penguin,penguin,penguin
0,none,animals,a robin,a seal,a salmon,salmon,salmon
0,none,animals,a robin,a seal,a dolphin,a seal,dolphin
0,none,animals,a robin,a seal,a whale,seal,a whale
0,none,animals,a robin,a dolphin,a finch,finch,finch
0,none,animals,a robin,a dolphin,a chicken,dolphin,a chicken
0,none,animals,a robin,a dolphin,an eagle,dolphin,eagle
0,none,animals,a robin,a dolphin,an ostrich,dolphin,dolphin
0,none,animals,a robin,a dolphin,a penguin,dolphin,penguin
0,none,animals,a robin,a dolphin,a salmon,dolphin,dolphin
0,none,animals,a robin,a dolphin,a seal,dolphin,seal
0,none,animals,a robin,a dolphin,a whale,a dolphin,dolphin
0,none,animals,a robin,a whale,a finch,finch,finch
0,none,animals,a robin,a whale,a chicken,chicken,chicken
0,none,animals,a robin,a whale,an eagle,an eagle,eagle
0,none,animals,a robin,a whale,an ostrich,whale,ostrich
0,none,animals,a robin,a whale,a penguin,penguin,penguin
0,none,animals,a robin,a whale,a salmon,salmon,salmon
0,none,animals,a robin,a whale,a seal,seal,seal
0,none,animals,a robin,a whale,a dolphin,dolphin,a dolphin
1,none,animals,a finch,a robin,a chicken,robin,robin
1,none,animals,a finch,a robin,an eagle,robin,robin
1,none,animals,a finch,a robin,an ostrich,robin,robin
1,none,animals,a finch,a robin,a penguin,robin,robin
1,none,animals,a finch,a robin,a salmon,robin,robin
1,none,animals,a finch,a robin,a seal,robin,robin
1,none,animals,a finch,a robin,a dolphin,robin,robin
1,none,animals,a finch,a robin,a whale,robin,robin
1,none,animals,a finch,a chicken,a robin,robin,robin
1,none,animals,a finch,a chicken,an eagle,chicken,chicken
1,none,animals,a finch,a chicken,an ostrich,chicken,chicken
1,none,animals,a finch,a chicken,a penguin,chicken,chicken
1,none,animals,a finch,a chicken,a salmon,chicken,chicken
1,none,animals,a finch,a chicken,a seal,chicken,chicken
1,none,animals,a finch,a chicken,a dolphin,chicken,dolphin
1,none,animals,a finch,a chicken,a whale,chicken,chicken
1,none,animals,a finch,an eagle,a robin,robin,robin
1,none,animals,a finch,an eagle,a chicken,a chicken,chicken
1,none,animals,a finch,an eagle,an ostrich,eagle,an eagle
1,none,animals,a finch,an eagle,a penguin,eagle,penguin
1,none,animals,a finch,an eagle,a salmon,eagle,salmon
1,none,animals,a finch,an eagle,a seal,eagle,eagle
1,none,animals,a finch,an eagle,a dolphin,eagle,dolphin
1,none,animals,a finch,an eagle,a whale,eagle,eagle
1,none,animals,a finch,an ostrich,a robin,robin,robin
1,none,animals,a finch,an ostrich,a chicken,chicken,chicken
1,none,animals,a finch,an ostrich,an eagle,an eagle,eagle
1,none,animals,a finch,an ostrich,a penguin,penguin,penguin
1,none,animals,a finch,an ostrich,a salmon,salmon,salmon
1,none,animals,a finch,an ostrich,a seal,an ostrich,seal
1,none,animals,a finch,an ostrich,a dolphin,an ostrich,dolphin
1,none,animals,a finch,an ostrich,a whale,ostrich,whale
1,none,animals,a finch,a penguin,a robin,robin,robin
1,none,animals,a finch,a penguin,a chicken,chicken,chicken
1,none,animals,a finch,a penguin,an eagle,penguin,eagle
1,none,animals,a finch,a penguin,an ostrich,penguin,penguin
1,none,animals,a finch,a penguin,a salmon,penguin,salmon
1,none,animals,a finch,a penguin,a seal,penguin,penguin
1,none,animals,a finch,a penguin,a dolphin,penguin,penguin
1,none,animals,a finch,a penguin,a whale,penguin,penguin
1,none,animals,a finch,a salmon,a robin,robin,robin
1,none,animals,a finch,a salmon,a chicken,a chicken,chicken
1,none,animals,a finch,a salmon,an eagle,salmon,eagle
1,none,animals,a finch,a salmon,an ostrich,salmon,salmon
1,none,animals,a finch,a salmon,a penguin,salmon,penguin
1,none,animals,a finch,a salmon,a seal,salmon,salmon
1,none,animals,a finch,a salmon,a dolphin,salmon,dolphin
1,none,animals,a finch,a salmon,a whale,salmon,salmon
1,none,animals,a finch,a seal,a robin,robin,robin
1,none,animals,a finch,a seal,a chicken,chicken,chicken
1,none,animals,a finch,a seal,an eagle,seal,eagle
1,none,animals,a finch,a seal,an ostrich,ostrich,an ostrich
1,none,animals,a finch,a seal,a penguin,penguin,penguin
1,none,animals,a finch,a seal,a salmon,salmon,salmon
1,none,animals,a finch,a seal,a dolphin,seal,dolphin
1,none,animals,a finch,a seal,a whale,seal,whale
1,none,animals,a finch,a dolphin,a robin,robin,robin
1,none,animals,a finch,a dolphin,a chicken,dolphin,a chicken
1,none,animals,a finch,a dolphin,an eagle,dolphin,eagle
1,none,animals,a finch,a dolphin,an ostrich,dolphin,ostrich
1,none,animals,a finch,a dolphin,a penguin,dolphin,penguin
1,none,animals,a finch,a dolphin,a salmon,dolphin,salmon
1,none,animals,a finch,a dolphin,a seal,dolphin,seal
1,none,animals,a finch,a dolphin,a whale,dolphin,dolphin
1,none,animals,a finch,a whale,a robin,robin,robin
1,none,animals,a finch,a whale,a chicken,chicken,chicken
1,none,animals,a finch,a whale,an eagle,eagle,eagle
1,none,animals,a finch,a whale,an ostrich,an ostrich,ostrich
1,none,animals,a finch,a whale,a penguin,penguin,penguin
1,none,animals,a finch,a whale,a salmon,salmon,salmon
1,none,animals,a finch,a whale,a seal,seal,seal
1,none,animals,a finch,a whale,a dolphin,dolphin,dolphin
1,none,animals,a robin,a finch,a chicken,finch,finch
1,none,animals,a robin,a finch,an eagle,finch,finch
1,none,animals,a robin,a finch,an ostrich,finch,finch
1,none,animals,a robin,a finch,a penguin,finch,finch
1,none,animals,a robin,a finch,a salmon,finch,finch
1,none,animals,a robin,a finch,a seal,finch,finch
1,none,animals,a robin,a finch,a dolphin,finch,a finch
1,none,animals,a robin,a finch,a whale,finch,finch
1,none,animals,a robin,a chicken,a finch,finch,finch
1,none,animals,a robin,a chicken,an eagle,chicken,eagle
1,none,animals,a robin,a chicken,an ostrich,chicken,chicken
1,none,animals,a robin,a chicken,a penguin,chicken,a penguin
1,none,animals,a robin,a chicken,a salmon,a chicken,chicken
1,none,animals,a robin,a chicken,a seal,chicken,chicken
1,none,animals,a robin,a chicken,a dolphin,chicken,dolphin
1,none,animals,a robin,a chicken,a whale,chicken,chicken
1,none,animals,a robin,an eagle,a finch,finch,finch
1,none,animals,a robin,an eagle,a chicken,eagle,chicken
1,none,animals,a robin,an eagle,an ostrich,eagle,eagle
1,none,animals,a robin,an eagle,a penguin,eagle,penguin
1,none,animals,a robin,an eagle,a salmon,eagle,salmon
1,none,animals,a robin,an eagle,a seal,eagle,eagle
1,none,animals,a robin,an eagle,a dolphin,eagle,dolphin
1,none,animals,a robin,an eagle,a whale,eagle,eagle
1,none,animals,a robin,an ostrich,a finch,finch,finch
1,none,animals,a robin,an ostrich,a chicken,a chicken,chicken
1,none,animals,a robin,an ostrich,an eagle,eagle,eagle
1,none,animals,a robin,an ostrich,a penguin,penguin,penguin
1,none,animals,a robin,an ostrich,a salmon,salmon,salmon
1,none,animals,a robin,an ostrich,a seal,ostrich,seal
1,none,animals,a robin,an ostrich,a dolphin,ostrich,dolphin
1,none,animals,a robin,an ostrich,a whale,ostrich,whale
1,none,animals,a robin,a penguin,a finch,finch,finch
1,none,animals,a robin,a penguin,a chicken,chicken,chicken
1,none,animals,a robin,a penguin,an eagle,penguin,eagle
1,none,animals,a robin,a penguin,an ostrich,penguin,penguin
1,none,animals,a robin,a penguin,a salmon,penguin,salmon
1,none,animals,a robin,a penguin,a seal,penguin,penguin
1,none,animals,a robin,a penguin,a dolphin,penguin,dolphin
1,none,animals,a robin,a penguin,a whale,penguin,penguin
1,none,animals,a robin,a salmon,a finch,finch,finch
1,none,animals,a robin,a salmon,a chicken,salmon,chicken
1,none,animals,a robin,a salmon,an eagle,salmon,eagle
1,none,animals,a robin,a salmon,an ostrich,salmon,salmon
1,none,animals,a robin,a salmon,a penguin,salmon,penguin
1,none,animals,a robin,a salmon,a seal,salmon,salmon
1,none,animals,a robin,a salmon,a dolphin,salmon,dolphin
1,none,animals,a robin,a salmon,a whale,salmon,salmon
1,none,animals,a robin,a seal,a finch,finch,finch
1,none,animals,a robin,a seal,a chicken,chicken,chicken
1,none,animals,a robin,a seal,an eagle,eagle,eagle
1,none,animals,a robin,a seal,an ostrich,seal,an ostrich
1,none,animals,a robin,a seal,a penguin,penguin,penguin
1,none,animals,a robin,a seal,a salmon,salmon,salmon
1,none,animals,a robin,a seal,a dolphin,seal,dolphin
1,none,animals,a robin,a seal,a whale,seal,seal
1,none,animals,a robin,a dolphin,a finch,finch,finch
1,none,animals,a robin,a dolphin,a chicken,dolphin,chicken
1,none,animals,a robin,a dolphin,an eagle,dolphin,eagle
1,none,animals,a robin,a dolphin,an ostrich,dolphin,dolphin
1,none,animals,a robin,a dolphin,a penguin,dolphin,penguin
1,none,animals,a robin,a dolphin,a salmon,dolphin,salmon
1,none,animals,a robin,a dolphin,a seal,a dolphin,seal
1,none,animals,a robin,a dolphin,a whale,dolphin,dolphin
